,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05,3.7163496e-05
1,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05,3.7908554e-05
2,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05,3.8683414e-05
3,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05,3.9458275e-05
4,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05,4.0262938e-05
5,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05,4.10676e-05
6,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05,4.1902065e-05
7,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05,4.2766333e-05
8,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05,4.36306e-05
9,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05,4.4494867e-05
